Customer_id,corp,cohort,cohort_text,ethnic,language,groupcode,cust_res,enhanced_est_income,i1_combined_age,i1_gendercode,dwelling_type,length_of_residence,number_of_children,occupation_group1,education_individual1,product_id,zipcode,ethnic1,lnguage,lnth_res
1,7858,J51,J51,20,~,O,6,F,E38,M,A,36,1,I8,53,18,11710,HISPANIC,UNKNOWN,36+ Years
2,7868,F33,F33,19,1,E,1,E,E49,M,S,15,0,I6,55,18,11951,ITALIAN,ENGLISH,11-15 Years
3,7868,K58,K58,20,1,O,4,H,E53,F,S,10,0,I3,53,5,11790,HISPANIC,ENGLISH,6-10 Years
4,7868,J52,J52,15,1,K,2,F,E64,U,S,54,0,I1,11,18,11967,IRISH,ENGLISH,36+ Years
5,7801,J51,J51,19,1,E,3,G,E31,F,S,19,2,I8,51,18,11743,ITALIAN,ENGLISH,16-20 Years
6,7875,K55,K55,19,1,E,1,I,E43,M,S,19,2,I2,53,18,8859,ITALIAN,ENGLISH,16-20 Years
7,7803,O68,O68,50,1,C,1,G,~,F,~,12,0,I9,51,18,10589,INDIAN,ENGLISH,11-15 Years
8,7801,O69,O69,66,1,J,2,L,E57,M,S,19,0,I1,54,18,11576M,JEWISH,ENGLISH,16-20 Years
9,7840,H42,H42,15,1,K,1,G,~,F,~,11,0,I8,52,18,11722,IRISH,ENGLISH,11-15 Years
10,7840,J53,J53,15,1,K,2,G,E50,M,S,23,2,K6,12,3,11754,IRISH,ENGLISH,20-25 Years
11,7837,C14,C14,88,1,P,4,B,E53,F,A,11,0,I8,51,18,10457,GHANAIAN,ENGLISH,11-15 Years
12,7803,F31,F31,20,1,O,4,C,E25,F,A,6,1,I8,52,18,10701,HISPANIC,ENGLISH,6-10 Years
13,7858,L63,L63,8W,1,M,1,C,E71,M,S,38,0,K3,13,5,11510,JAMAICAN,ENGLISH,36+ Years
14,7876,G37,G37,1,1,K,2,F,E43,F,S,20,1,I8,52,18,7843,ENGLISH,ENGLISH,16-20 Years
15,7806,N66,N66,56,1,N,7,L,E48,F,S,10,2,I3,53,18,6825,KOREAN,ENGLISH,6-10 Years
16,7837,A05,A05,8W,1,M,7,B,E27,F,A,1,0,I8,51,18,10456,JAMAICAN,ENGLISH,1-5 Years
17,7840,P70,P70,19,1,E,2,F,E29,M,S,39,0,K8,13,18,11787,ITALIAN,ENGLISH,36+ Years
18,7801,K59,K59,15,1,K,1,I,E59,F,S,63,0,K1,12,18,11702,IRISH,ENGLISH,36+ Years
19,7801,N66,N66,10,1,K,4,H,E48,M,S,20,1,I1,52,3,11747,GERMAN,ENGLISH,16-20 Years
20,7868,K58,K58,19,1,E,1,D,E68,F,S,28,0,I9,51,5,11967,ITALIAN,ENGLISH,26-30 Years
21,7858,N67,N67,19,1,E,2,F,E68,F,S,36,0,I9,12,18,11530,ITALIAN,ENGLISH,36+ Years
22,7836,D21,D21,20,20,O,2,C,~,M,~,7,0,I6,55,5,11204,HISPANIC,SPANISH,6-10 Years
23,7865,L63,L63,19,1,E,2,D,E84,F,S,3,0,K9,11,18,8535,ITALIAN,ENGLISH,1-5 Years
24,7837,C17,C17,20,20,O,4,E,E66,U,A,13,0,I9,55,5,10457,HISPANIC,SPANISH,11-15 Years
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
